Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : -0.0 ; Vitesse droite : 0.0
Vitesse gauche : 0.0 ; Vitesse droite : -0.0
Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : -0.0 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : -0.0
Vitesse gauche : -0.1 ; Vitesse droite : -0.2
Vitesse gauche : -0.1 ; Vitesse droite : -0.1
Vitesse gauche : -0.2 ; Vitesse droite : -0.2
Vitesse gauche : -0.4 ; Vitesse droite : -0.5
Vitesse gauche : -0.3 ; Vitesse droite : -0.6
Vitesse gauche : -1.1 ; Vitesse droite : -1.4
Vitesse gauche : -3.9 ; Vitesse droite : -4.7
Vitesse gauche : -3.1 ; Vitesse droite : -3.9
Vitesse gauche : 3.9 ; Vitesse droite : 8.3
Vitesse gauche : 8.2 ; Vitesse droite : 19.8
Vitesse gauche : 6.0 ; Vitesse droite : 21.8
Vitesse gauche : -4.3 ; Vitesse droite : 10.6
Vitesse gauche : -16.9 ; Vitesse droite : -6.2
Vitesse gauche : -18.0 ; Vitesse droite : -5.4
Vitesse gauche : -6.0 ; Vitesse droite : 6.3
Vitesse gauche : -0.4 ; Vitesse droite : 16.8
Vitesse gauche : -12.7 ; Vitesse droite : 4.1
Vitesse gauche : -11.7 ; Vitesse droite : 8.2
Vitesse gauche : -2.2 ; Vitesse droite : 25.9
Vitesse gauche : -7.0 ; Vitesse droite : 20.2
Vitesse gauche : -6.6 ; Vitesse droite : 13.0
Vitesse gauche : 7.3 ; Vitesse droite : 23.2
Vitesse gauche : 2.5 ; Vitesse droite : 17.2
Vitesse gauche : -0.9 ; Vitesse droite : 20.9
Vitesse gauche : 6.9 ; Vitesse droite : 29.5
Vitesse gauche : -2.1 ; Vitesse droite : 15.4
Vitesse gauche : -10.1 ; Vitesse droite : 7.7
Vitesse gauche : -6.2 ; Vitesse droite : 15.2
Vitesse gauche : -12.4 ; Vitesse droite : 7.4
Vitesse gauche : -21.9 ; Vitesse droite : 5.0
Vitesse gauche : -12.3 ; Vitesse droite : 18.8
Vitesse gauche : -21.7 ; Vitesse droite : 10.9
Vitesse gauche : 0.0 ; Vitesse droite : 3.3
Vitesse gauche : 0.0 ; Vitesse droite : 19.8
Vitesse gauche : 0.0 ; Vitesse droite : 18.8
Vitesse gauche : 0.0 ; Vitesse droite : 34.5
Vitesse gauche : 0.0 ; Vitesse droite : 8.5
Vitesse gauche : 0.0 ; Vitesse droite : 6.9
Vitesse gauche : 0.0 ; Vitesse droite : 9.8
Vitesse gauche : 0.0 ; Vitesse droite : 24.4
Vitesse gauche : 0.0 ; Vitesse droite : 32.2
Vitesse gauche : 0.0 ; Vitesse droite : 41.6
Vitesse gauche : 0.0 ; Vitesse droite : 14.1
Vitesse gauche : 0.0 ; Vitesse droite : 1.1
Vitesse gauche : 0.0 ; Vitesse droite : 5.2
Vitesse gauche : 0.0 ; Vitesse droite : 7.6
Vitesse gauche : 0.0 ; Vitesse droite : 22.5
Vitesse gauche : 0.0 ; Vitesse droite : 26.9
Vitesse gauche : 0.0 ; Vitesse droite : 2.6
Vitesse gauche : 0.0 ; Vitesse droite : 17.6
Vitesse gauche : -3.0 ; Vitesse droite : 18.1
Vitesse gauche : 0.0 ; Vitesse droite : -7.5
Vitesse gauche : -10.2 ; Vitesse droite : 1.3
Vitesse gauche : -9.1 ; Vitesse droite : 4.0
Vitesse gauche : -8.2 ; Vitesse droite : 7.4
Vitesse gauche : 3.9 ; Vitesse droite : 21.9
Vitesse gauche : 3.1 ; Vitesse droite : 15.6
Vitesse gauche : 0.6 ; Vitesse droite : 0.0
Vitesse gauche : 12.0 ; Vitesse droite : 0.0
Vitesse gauche : 8.8 ; Vitesse droite : 0.0
Vitesse gauche : -1.2 ; Vitesse droite : 0.0
Vitesse gauche : -9.3 ; Vitesse droite : -0.8
Vitesse gauche : -21.4 ; Vitesse droite : -11.8
Vitesse gauche : -13.8 ; Vitesse droite : 0.0
Vitesse gauche : -1.7 ; Vitesse droite : 0.0
Vitesse gauche : -0.4 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : 0.0
Vitesse gauche : 0.0 ; Vitesse droite : 0.0
Vitesse gauche : 0.1 ; Vitesse droite : 0.0
Vitesse gauche : -0.0 ; Vitesse droite : 0.0
Vitesse gauche : -0.1 ; Vitesse droite : 0.0
Vitesse gauche : -0.1 ; Vitesse droite : 0.0
Vitesse gauche : -0.2 ; Vitesse droite : 0.0
Vitesse gauche : -0.2 ; Vitesse droite : 0.0
[INFO] [WallTime: 1432301610.165897] Stop TurtleBot
Vitesse gauche : -0.3 ; Vitesse droite : 0.0
Vitesse gauche : -0.2 ; Vitesse droite : 0.0
